date,open,high,low,close,adj_close,volume,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,RSI_14,target
2019-01-02,24.08,25.139999,24.01,24.959999,23.550766,71836300,-0.7380081564375196,0.15959511959328054,-0.8976032760308001,46.57332212402044,"[1, 0, 0]"
2019-01-03,24.940001,25.040001,24.450001,24.559999,23.173349,66599600,-0.6794350488576093,0.17453458173855274,-0.853969630596162,43.11135871367128,"[1, 0, 0]"
2019-01-04,25.1,25.65,25.030001,25.58,24.135759,83829100,-0.5444339868065953,0.2476285150316535,-0.7920625018382488,52.755467511092554,"[1, 0, 0]"
2019-01-07,25.559999,25.780001,25.290001,25.559999,24.116888,57016300,-0.4340550693956118,0.2864059459541096,-0.7204610153497214,52.567281276821966,"[1, 0, 0]"
2019-01-08,25.719999,25.790001,25.09,25.51,24.069714,67339400,-0.34661788829702544,0.29907450164215676,-0.6456923899391822,52.06727036971566,"[1, 0, 0]"
2019-01-09,25.67,25.85,25.389999,25.76,24.305597,69707200,-0.25421989298278547,0.31317799756511744,-0.5673978905479029,54.40269834524096,"[1, 0, 0]"
2019-01-10,25.559999,25.780001,25.42,25.73,24.277294,65235800,-0.18132437080800656,0.3088588157919171,-0.49018318659992366,54.06229429528494,"[1, 0, 0]"
2019-01-11,25.530001,26.040001,25.459999,26.030001,24.560354,63476000,-0.09821441616044169,0.31357501635158563,-0.4117894325120273,56.96236637757055,"[1, 0, 0]"
2019-01-14,25.77,26.48,25.610001,26.370001,24.881157,76715400,-0.004858019599982555,0.32554513032963583,-0.3304031499296184,60.04124348381768,"[1, 0, 0]"
2019-01-15,26.209999,26.809999,26.049999,26.549999,25.050995,80625500,0.08269863319923942,0.33048142650308626,-0.24778279330384684,61.60715671012797,"[1, 0, 0]"
2019-01-16,28.129999,28.719999,27.860001,28.450001,26.843723,163131700,0.30192182689436464,0.4397636961585692,-0.13784186926420455,73.43935438637833,"[1, 0, 0]"
2019-01-17,28.34,29.0,28.09,28.99,27.353233,107428800,0.5133140290555716,0.5209247186558209,-0.00761068960024934,75.72879826111381,"[1, 0, 0]"
2019-01-18,29.02,29.459999,28.709999,29.299999,27.645731,97928200,0.6978142326969028,0.5643399378377217,0.13347429485918108,76.95676564456,"[0, 0, 1]"
2019-01-22,28.98,29.299999,28.889999,29.09,27.447592,84861400,0.8176613183680743,0.5473496188071145,0.27031169956095974,74.2174431912278,"[1, 0, 0]"
2019-01-23,29.219999,29.280001,28.620001,28.92,27.287184,79425900,0.8886792764481264,0.4946940615097333,0.3939852149383931,71.98363189130775,"[1, 0, 0]"
2019-01-24,28.75,29.200001,28.74,29.08,27.438152,59492300,0.9469562603974779,0.44237683636726777,0.5045794240302102,72.8130188932038,"[1, 0, 0]"
2019-01-25,29.280001,29.719999,29.139999,29.58,27.909924,72182100,1.0217093816068257,0.41370396606129245,0.6080054155455332,75.27619469724993,"[1, 0, 0]"
2019-01-28,29.32,29.67,29.290001,29.629999,27.957098,59963800,1.0726217542739036,0.3716930709826962,0.7009286832912074,75.51509072085501,"[1, 0, 0]"
2019-01-29,29.540001,29.700001,29.34,29.389999,27.73065,51451900,1.0811414564572353,0.3041702185328222,0.776971237924413,71.92261625699669,"[1, 0, 0]"
2019-01-30,29.42,29.469999,28.950001,29.07,27.428719,66475800,1.0499687506868298,0.21839801020993332,0.8315707404768965,67.32375472835676,"[1, 0, 0]"
2019-01-31,28.75,28.84,27.98,28.469999,26.862591,100201200,0.9657169071266907,0.10731693331983527,0.8583999738068554,59.62530141773879,"[1, 0, 0]"
2019-02-01,28.6,28.84,28.309999,28.379999,26.777672,64244100,0.8815228199257099,0.018498276895083654,0.8630245430306263,58.54388756680945,"[1, 0, 0]"
2019-02-04,28.469999,28.969999,28.42,28.879999,27.249443,55195900,0.8453989872762158,-0.01410044460352844,0.8594994318797442,62.601981628063506,"[1, 0, 0]"
2019-02-05,28.85,28.879999,28.57,28.780001,27.15509,46622600,0.7994856142627746,-0.048011054093575756,0.8474966683563504,61.30937488601787,"[1, 0, 0]"
2019-02-06,28.67,28.9,28.540001,28.73,27.107916,35606900,0.7504139674372823,-0.07766616073525456,0.8280801281725368,60.63519594757666,"[1, 0, 0]"
2019-02-07,28.540001,28.639999,27.9,28.24,26.645575,62289200,0.6643274752812722,-0.13100212231301178,0.795329597594284,54.330110788063756,"[1, 0, 0]"
2019-02-08,28.15,28.32,27.860001,28.290001,26.692757,50031300,0.5932987936743572,-0.1616246431359415,0.7549234368102987,54.84608603317446,"[1, 0, 0]"
2019-02-11,28.34,28.459999,28.209999,28.41,26.805981,47724400,0.5404608716897457,-0.1715700520964425,0.7120309237861882,56.12717166667409,"[1, 0, 0]"
2019-02-12,28.620001,28.860001,28.58,28.690001,27.070171,49178100,0.5152408032210083,-0.15743209645214384,0.6726728996731521,59.04686069112008,"[1, 0, 0]"
2019-02-13,28.870001,28.99,28.66,28.700001,27.079609,48951200,0.490407521050674,-0.14581230289798264,0.6362198239486566,59.15141527541936,"[1, 0, 0]"
2019-02-14,28.360001,28.620001,28.110001,28.389999,26.787109,47756600,0.44063305187390966,-0.1564694176597976,0.5971024695337073,54.5057552764768,"[1, 0, 0]"
2019-02-15,28.76,29.309999,28.67,29.110001,27.466459,65867000,0.4540505583379968,-0.11444152895656845,0.5684920872945652,61.97541265607375,"[1, 0, 0]"
2019-02-19,28.93,29.26,28.75,29.129999,27.485329,40841300,0.4609837664413341,-0.086006656682585,0.5469904231239191,62.16124385068376,"[1, 0, 0]"
2019-02-20,29.1,29.450001,29.01,29.41,27.749517,42806300,0.48349865294461836,-0.050793416143440684,0.534292069088059,64.75822938714596,"[1, 0, 0]"
2019-02-21,29.33,29.450001,29.110001,29.290001,27.636295,42754100,0.4860559953281651,-0.03858885900791509,0.5246448543360802,62.769906600937595,"[1, 0, 0]"
2019-02-22,29.049999,29.27,28.959999,29.08,27.438152,47887800,0.4657682949696529,-0.04710124749314182,0.5128695424627947,59.33637272138996,"[1, 0, 0]"
2019-02-25,29.120001,29.59,29.120001,29.27,27.617428,61227400,0.4597221673956646,-0.04251790005370404,0.5022400674493687,61.393976941011225,"[1, 0, 0]"
2019-02-26,29.02,29.629999,28.959999,29.290001,27.636295,53153200,0.45134169516652634,-0.04071869782627391,0.49206039299280024,61.61417293849463,"[1, 0, 0]"
2019-02-27,29.299999,29.67,29.209999,29.530001,27.862745,48128600,0.45877760216458796,-0.026626232662569804,0.48540383482715777,64.24919578882692,"[1, 0, 0]"
2019-02-28,29.5,29.549999,29.01,29.08,27.578239,62358100,0.4234777047737275,-0.04954090404274425,0.47301860881647173,56.42765354836986,"[1, 0, 0]"
2019-03-01,29.33,29.65,29.209999,29.309999,27.796364,45771500,0.4093426318347504,-0.05094078158537707,0.46028341342012746,59.16396435498221,"[1, 0, 0]"
2019-03-04,29.33,29.540001,28.77,29.030001,27.530821,56893200,0.3712672484001125,-0.07121293201601203,0.4424801804161245,54.66342099775671,"[1, 0, 0]"
2019-03-05,29.02,29.190001,28.700001,29.08,27.578239,39932500,0.3411936659553092,-0.08102921156865228,0.4222228775239615,55.31706376470951,"[1, 0, 0]"
2019-03-06,29.01,29.16,28.799999,28.84,27.350636,41672000,0.2945981963366684,-0.10209974494983448,0.3966979412865029,51.48028084694374,"[1, 0, 0]"
2019-03-07,28.67,28.719999,28.26,28.549999,27.075609,53908600,0.23160054696210608,-0.13207791545951747,0.36367846242162355,47.218480930338735,"[1, 0, 0]"
2019-03-08,28.059999,28.67,28.01,28.65,27.170444,40860700,0.1875813795380239,-0.1408776663068797,0.3284590458449036,48.79272949918724,"[1, 0, 0]"
2019-03-11,28.700001,29.059999,28.700001,28.940001,27.445469,40709300,0.17408973121957771,-0.12349545170026072,0.29758518291983843,53.156120329122956,"[1, 0, 0]"
2019-03-12,29.0,29.120001,28.889999,28.940001,27.445469,34450000,0.16153542292199674,-0.10883980799827336,0.2703752309202701,53.15612032912296,"[1, 0, 0]"
2019-03-13,29.049999,29.51,28.98,29.290001,27.777391,54683300,0.17777879479230307,-0.07407714890237366,0.25185594369467673,58.14782040673177,"[1, 0, 0]"
2019-03-14,29.309999,29.639999,29.24,29.459999,27.938612,45219100,0.20204020814034607,-0.03985258844346454,0.2418927965838106,60.357441240667285,"[1, 0, 0]"
2019-03-15,29.440001,29.610001,29.26,29.299999,27.786877,82346200,0.20598245269348325,-0.028728275112261892,0.23471072780574515,57.291587810919395,"[1, 0, 0]"
2019-03-18,29.379999,29.959999,29.33,29.82,28.280022,58568600,0.24820528870869296,0.01079564872235822,0.23740963998633474,63.738291513744166,"[1, 0, 0]"
2019-03-19,30.01,30.139999,29.540001,29.65,28.118801,55455100,0.2648960543763508,0.021989131512012816,0.24290692286433796,60.521918589996545,"[1, 0, 0]"
2019-03-20,29.620001,29.66,28.6,28.639999,27.160959,81689900,0.1943842262883173,-0.03881815726081653,0.23320238354913383,45.75057238814407,"[1, 0, 0]"
2019-03-21,28.450001,28.6,28.040001,28.18,26.724718,77444400,0.10022963475167046,-0.10637819903797069,0.20660783378964115,40.859337916153,"[1, 0, 0]"
2019-03-22,27.91,28.07,26.709999,27.01,25.615137,118851600,-0.06801375901352813,-0.21969727424253543,0.1516835152290073,31.60424097049517,"[1, 0, 0]"
2019-03-25,26.91,27.379999,26.610001,26.84,25.453917,65568000,-0.212614551746789,-0.291438453580637,0.07882390183384805,30.52241769388902,"[0, 1, 0]"
2019-03-26,27.15,27.35,26.879999,27.209999,25.804811,59878500,-0.29396722352644744,-0.2982329002882364,0.004265676761788947,35.68271773799358,"[1, 0, 0]"
2019-03-27,27.09,27.370001,26.950001,27.030001,25.634108,57621700,-0.36871383277231473,-0.29838360762728294,-0.07033022514503179,34.346241360042015,"[1, 0, 0]"
2019-03-28,27.200001,27.41,27.02,27.33,25.918612,45872300,-0.3991425798136987,-0.26304988373493354,-0.13609269607876517,38.481885745500605,"[1, 0, 0]"
2019-03-29,27.549999,27.68,27.299999,27.59,26.165186,83446300,-0.39769339211320087,-0.20928055682754854,-0.18841283528565234,41.89785522609303,"[1, 0, 0]"
2019-04-01,27.9,28.74,27.85,28.540001,27.066128,91751100,-0.31624231465995223,-0.10226358349943993,-0.2139787311605123,52.3165641808712,"[1, 0, 0]"
2019-04-02,28.469999,28.870001,28.35,28.870001,27.379084,66694000,-0.22249868059077116,-0.006815959544207051,-0.2156827210465641,55.314115722734016,"[1, 0, 0]"
2019-04-03,29.07,29.24,28.700001,28.84,27.350636,63110600,-0.14891045810818682,0.05341781035070184,-0.20232826845888865,54.97575743805081,"[1, 0, 0]"
2019-04-04,28.85,29.309999,28.84,29.15,27.644623,53712100,-0.0648295378371202,0.1099989844974148,-0.174828522334535,57.84520608866182,"[1, 0, 0]"
2019-04-05,29.32,29.5,28.98,29.08,27.578239,46383400,-0.003799420384439145,0.13682328156007667,-0.14062270194451582,56.96240794513789,"[1, 0, 0]"
2019-04-08,28.889999,29.200001,28.870001,29.17,27.663591,35272800,0.05123898411990879,0.1534893488515397,-0.10225036473163089,57.853022175375976,"[1, 0, 0]"
2019-04-09,29.0,29.07,28.74,28.889999,27.39805,40535300,0.07144005905499284,0.138952339029299,-0.06751227997430614,54.10194257083853,"[1, 0, 0]"
2019-04-10,28.9,29.15,28.75,29.07,27.568756,42669700,0.10081203447074571,0.13465945155604148,-0.033847417085295775,56.07370602286915,"[1, 0, 0]"
2019-04-11,29.25,29.49,28.99,29.07,27.568756,50440100,0.12267541082815114,0.12521826233075753,-0.0025428515026063893,56.07370602286915,"[1, 0, 0]"
2019-04-12,29.559999,30.219999,29.559999,30.17,28.611948,100192000,0.22615611411867675,0.1829591724970265,0.04319694162165024,66.326385439442,"[0, 0, 1]"
2019-04-15,30.1,30.139999,29.66,29.84,28.298988,57438800,0.27832867522528204,0.18810538688290543,0.09022328834237661,61.675541932001046,"[1, 0, 0]"
2019-04-16,29.299999,30.049999,29.0,29.879999,28.336924,105168400,0.3192235800783223,0.18320023338875654,0.13602334668956576,62.02314553054068,"[1, 0, 0]"
2019-04-17,29.83,30.120001,29.459999,30.030001,28.479179,94831600,0.3595918436517458,0.178854797569744,0.18073704608200178,63.36509424675312,"[1, 0, 0]"
2019-04-18,29.950001,30.16,29.82,30.030001,28.479179,61796600,0.387121487834321,0.16510755340185537,0.22201393443246561,63.36509424675312,"[1, 0, 0]"
2019-04-22,29.93,30.1,29.780001,30.049999,28.498142,34763400,0.40587393854335474,0.1470880032887113,0.25878593525464344,63.56416366744454,"[1, 0, 0]"
2019-04-23,29.99,30.209999,29.92,30.07,28.517113,41889700,0.4175362068932458,0.12700021731088185,0.29053598958236393,63.77617234744129,"[1, 0, 0]"
2019-04-24,29.950001,30.17,29.85,30.02,28.469692,40078100,0.4179264603651731,0.10191237662624736,0.31601408373892576,62.792533029415964,"[1, 0, 0]"
2019-04-25,29.91,30.32,29.9,30.08,28.526598,43243800,0.4182558445911546,0.08179340868178309,0.3364624359093715,63.51964683872368,"[1, 0, 0]"
2019-04-26,30.17,30.389999,30.049999,30.35,28.78265,40627500,0.43528592232272345,0.07905878913068154,0.3562271331920419,66.67560846219894,"[1, 0, 0]"
2019-04-29,30.43,31.17,30.41,30.77,29.180965,68408600,0.47717232598908055,0.0967561542376309,0.38041617175144965,70.89381783409439,"[1, 0, 0]"
2019-04-30,30.799999,30.879999,30.41,30.58,29.000776,47764200,0.4893947524970308,0.0871828645964649,0.4022118879005659,66.77592705179477,"[1, 0, 0]"
2019-05-01,30.559999,30.889999,30.18,30.26,28.697302,56161000,0.46786651397765056,0.05252370086166769,0.41534281311598287,60.411396246050096,"[1, 0, 0]"
2019-05-02,30.26,30.559999,30.15,30.5,28.924906,40634100,0.4648131474570256,0.03957626747283416,0.42523687998419146,63.24118439401104,"[1, 0, 0]"
2019-05-03,30.66,30.799999,30.5,30.709999,29.124062,35256100,0.47387594978466296,0.038911255840377135,0.43496469394428583,65.56085724344949,"[1, 0, 0]"
2019-05-06,30.110001,30.610001,30.07,30.469999,28.896454,39882000,0.45643084106945153,0.017172917700132573,0.43925792336931896,60.83583960290801,"[1, 0, 0]"
2019-05-07,30.16,30.17,29.629999,29.92,28.374863,58528400,0.39368696568210026,-0.036456766149775,0.43014373183187526,51.649180744605125,"[1, 0, 0]"
2019-05-08,29.73,30.110001,29.67,29.799999,28.261053,39903400,0.33046946826258505,-0.07973941085543218,0.41020887911801723,49.87937053540334,"[1, 0, 0]"
2019-05-09,29.42,29.780001,29.280001,29.709999,28.175701,44173500,0.2699945689366139,-0.1121714481451227,0.3821660170817366,48.53607900835571,"[1, 0, 0]"
2019-05-10,29.459999,29.709999,29.190001,29.58,28.052418,59649900,0.2091667980238192,-0.13839937524633394,0.34756617327015316,46.58455694303565,"[1, 0, 0]"
2019-05-13,28.959999,29.0,28.049999,28.25,26.791103,72547000,0.05302917924002415,-0.2356295952241032,0.28865877446412735,32.283099122972956,"[0, 1, 0]"
