date,open,high,low,close,adj_close,volume,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,RSI_14,target
2007-01-03,3.714286,3.824286,3.677143,3.801429,3.801429,16440900,-0.06887402327245651,-0.025996920993763536,-0.04287710227869297,43.82966879637871,"[1, 0, 0]"
2007-01-04,3.772857,3.828571,3.585714,3.621429,3.621429,15959300,-0.08047606367600224,-0.030079169117847415,-0.050396894558154826,35.820111268345,"[1, 0, 0]"
2007-01-05,3.62,3.62,3.492857,3.544286,3.544286,15190700,-0.09480273278218743,-0.03552467057922608,-0.05927806220296135,33.033930505706806,"[1, 0, 0]"
2007-01-08,3.545714,3.555714,3.367143,3.404286,3.404286,18344900,-0.11611504922968674,-0.04546958962138031,-0.07064545960830643,28.674808016905683,"[1, 0, 0]"
2007-01-09,3.427143,3.44,3.36,3.427143,3.427143,10611300,-0.12966613420445494,-0.047216539676918814,-0.08244959452753613,30.29213007548053,"[1, 0, 0]"
2007-01-10,3.424286,3.464286,3.411429,3.438571,3.438571,11448500,-0.13789376905130224,-0.044355339619012876,-0.09353842943228936,31.13294566362665,"[1, 0, 0]"
2007-01-11,3.422857,3.507143,3.411429,3.462857,3.462857,9130100,-0.14083113801619573,-0.037834166867125096,-0.10299697114907064,32.982958064041526,"[1, 0, 0]"
2007-01-12,3.408571,3.411429,3.241429,3.244286,3.244286,22171100,-0.15896344546144103,-0.04477317944989631,-0.11419026601154472,26.169348113023617,"[1, 0, 0]"
2007-01-16,3.464286,3.485714,3.242857,3.248571,3.248571,30134300,-0.1710162966454769,-0.04546082450714575,-0.12555547213833115,26.489958291201415,"[1, 0, 0]"
2007-01-17,3.26,3.292857,3.234286,3.261429,3.261429,15204000,-0.17748480060282157,-0.04154346277159232,-0.13594133783122925,27.50724295693426,"[1, 0, 0]"
2007-01-18,3.251429,3.282857,3.167143,3.178571,3.178571,11298700,-0.18713985298418478,-0.04095881212236441,-0.14618104086182038,25.096987212960954,"[1, 0, 0]"
2007-01-19,3.174286,3.26,3.171429,3.222857,3.222857,12152000,-0.1890389184911312,-0.03428630210344863,-0.15475261638768256,28.693344438315158,"[1, 0, 0]"
2007-01-22,3.264286,3.281429,3.114286,3.128571,3.128571,18595500,-0.19589389097103327,-0.03291301966668056,-0.1629808713043527,25.84787561575642,"[1, 0, 0]"
2007-01-23,3.114286,3.19,3.1,3.108571,3.108571,20239100,-0.20062762848695614,-0.030117405746082737,-0.1705102227408734,25.275295362089118,"[1, 0, 0]"
2007-01-24,3.128571,3.285714,3.042857,3.25,3.25,44220400,-0.1907679569853351,-0.016206187395569338,-0.17456176958976577,36.061467225851594,"[1, 0, 0]"
2007-01-25,3.415714,3.464286,3.245714,3.321429,3.321429,64389500,-0.17517110943295,-0.0004874718745473683,-0.17468363755840263,40.71585409932945,"[1, 0, 0]"
2007-01-26,3.365714,3.371429,3.25,3.307143,3.307143,13869800,-0.16209472904936684,0.01007112680722863,-0.17216585585659547,40.0873217799064,"[1, 0, 0]"
2007-01-29,3.18,3.251429,3.151429,3.221429,3.221429,21761600,-0.15684005234941623,0.012260642805743405,-0.16910069515515963,36.45147957823443,"[1, 0, 0]"
2007-01-30,3.234286,3.28,3.221429,3.275714,3.275714,8789200,-0.146605362030658,0.017996266499601316,-0.1646016285302593,40.15358584377074,"[1, 0, 0]"
2007-01-31,3.254286,3.304286,3.242857,3.258571,3.258571,10256400,-0.1382835464016514,0.021054465702886327,-0.15933801210453774,39.37350576197144,"[1, 0, 0]"
2007-02-01,3.268571,3.3,3.235714,3.247143,3.247143,7888300,-0.131099359838736,0.022590921812641385,-0.15369028165137738,38.83191437994948,"[1, 0, 0]"
2007-02-02,3.25,3.297143,3.242857,3.262857,3.262857,9864400,-0.12272317538244915,0.0247736850151426,-0.14749686039759174,40.052972988637784,"[1, 0, 0]"
2007-02-05,3.285714,3.285714,3.22,3.228571,3.228571,5572700,-0.11749714852487436,0.023999769498173895,-0.14149691802304826,38.25843136467157,"[1, 0, 0]"
2007-02-06,3.214286,3.238571,3.165714,3.188571,3.188571,15805300,-0.11525456738546591,0.02099388051006587,-0.13624844789553178,36.21956010637954,"[1, 0, 0]"
2007-02-07,3.178571,3.294286,3.175714,3.271429,3.271429,11223800,-0.10557436202113779,0.0245392686995152,-0.130113630720653,42.996355944748395,"[1, 0, 0]"
2007-02-08,3.354286,3.404286,3.301429,3.392857,3.392857,19541900,-0.08710046480383049,0.03441053273345801,-0.1215109975372885,51.18253426988376,"[1, 0, 0]"
2007-02-09,3.397143,3.397143,3.297143,3.301429,3.301429,7865200,-0.07892741752754917,0.034066864007791464,-0.11299428153534063,45.84417493642322,"[1, 0, 0]"
2007-02-12,3.29,3.352857,3.284286,3.304286,3.304286,7119700,-0.07139666632786934,0.03327809216597705,-0.10467475849384639,46.03359466618867,"[1, 0, 0]"
2007-02-13,3.318571,3.321429,3.261429,3.271429,3.271429,4841900,-0.06730393913350019,0.02989665548827697,-0.09720059462177716,44.12224566000441,"[1, 0, 0]"
2007-02-14,3.271429,3.312857,3.171429,3.228571,3.228571,36174600,-0.06674926182584917,0.02436106623674239,-0.09111032806259156,41.690644241194256,"[1, 0, 0]"
2007-02-15,3.211429,3.242857,3.201429,3.214286,3.214286,8286600,-0.06669355439876234,0.019533418931063376,-0.08622697332982572,40.88192250110712,"[1, 0, 0]"
2007-02-16,3.217143,3.272857,3.197143,3.267143,3.267143,10532900,-0.06167335565219867,0.019642894142101644,-0.08131624979430031,45.12373987623501,"[1, 0, 0]"
2007-02-20,3.278571,3.371429,3.275714,3.358571,3.358571,12290600,-0.04974391953278623,0.025257864209211278,-0.07500178374199751,51.59361249277087,"[1, 0, 0]"
2007-02-21,3.36,3.365714,3.317143,3.341429,3.341429,64801800,-0.041198065940280415,0.02704297424137367,-0.06824104018165408,50.39395674975952,"[1, 0, 0]"
2007-02-22,3.345714,3.411429,3.345714,3.392857,3.392857,8782900,-0.029930584453955245,0.030648364582159075,-0.06057894903611432,53.86020147410238,"[1, 0, 0]"
2007-02-23,3.394286,3.407143,3.357143,3.361429,3.361429,8375500,-0.02326877321020815,0.029848140660724942,-0.05311691387093309,51.49227347006324,"[1, 0, 0]"
2007-02-26,3.387143,3.402857,3.071429,3.304286,3.304286,6216700,-0.02234265017638659,0.024619410955637203,-0.046962061132023794,47.4108709396584,"[1, 0, 0]"
2007-02-27,3.252857,3.264286,3.157143,3.157143,3.157143,12520200,-0.03310034124474459,0.011089375909823361,-0.04418971715456795,38.86772643587453,"[1, 0, 0]"
2007-02-28,3.158571,3.272857,3.155714,3.218571,3.218571,8883000,-0.03625128050064008,0.0063507493231422935,-0.042602029823782375,43.44905205835089,"[1, 0, 0]"
2007-03-01,3.194286,3.291429,3.157143,3.261429,3.261429,12429200,-0.034887973302260455,0.006171245217217541,-0.041059218519478,46.46358547966783,"[1, 0, 0]"
2007-03-02,3.261429,3.285714,3.181429,3.184286,3.184286,8073100,-0.039576128935412846,0.001186471667252123,-0.04076260060266497,42.11211016172662,"[1, 0, 0]"
2007-03-05,3.144286,3.165714,3.007143,3.008571,3.008571,17101000,-0.05681532632394681,-0.01284218057702547,-0.04397314574692134,34.2449596459706,"[1, 0, 0]"
2007-03-06,3.035714,3.13,2.987143,3.062857,3.062857,14133000,-0.06534384477565869,-0.017096559222989874,-0.048247285552668814,38.09278549618609,"[1, 0, 0]"
2007-03-07,3.071429,3.085714,3.01,3.025714,3.025714,8599500,-0.07424404761075332,-0.020797409646467604,-0.05344663796428571,36.51818854837342,"[1, 0, 0]"
2007-03-08,3.03,3.09,3.03,3.034286,3.034286,6320300,-0.07968724871960786,-0.020992488604257717,-0.058694760115350145,37.163734125802364,"[1, 0, 0]"
2007-03-09,3.071429,3.071429,2.981429,3.008571,3.008571,6686400,-0.08509508720979797,-0.021120261675558263,-0.06397482553423971,35.981651743164655,"[1, 0, 0]"
2007-03-12,3.0,3.03,2.957143,3.011429,3.011429,6709500,-0.08813426452023387,-0.019327551188795325,-0.06880671333143855,36.224448567433676,"[1, 0, 0]"
