Date,Open,High,Low,Close,Adj Close,Volume
1992-06-05,1.125000,1.156250,1.046875,1.062500,0.926381,77576000
1992-06-08,1.093750,1.093750,1.031250,1.031250,0.899134,13020800
1992-06-09,1.062500,1.078125,1.031250,1.046875,0.912758,8281600
1992-06-10,1.031250,1.046875,1.000000,1.000000,0.871888,4707200
1992-06-11,1.000000,1.015625,0.984375,0.992188,0.865077,4974400
1992-06-12,0.984375,1.015625,0.984375,1.015625,0.885511,2393600
1992-06-15,0.984375,1.015625,0.984375,1.000000,0.871888,1944000
1992-06-16,1.015625,1.015625,0.984375,0.984375,0.858265,1276800
1992-06-17,0.984375,1.015625,0.875000,0.890625,0.776525,17123200
1992-06-18,0.890625,0.906250,0.875000,0.875000,0.762902,5713600
1992-06-19,0.875000,0.953125,0.875000,0.921875,0.803771,1252800
1992-06-22,0.937500,0.968750,0.937500,0.953125,0.831018,2241600
1992-06-23,0.968750,1.000000,0.937500,1.000000,0.871888,3516800
1992-06-24,0.984375,0.992188,0.906250,0.953125,0.831018,4502400
1992-06-25,0.968750,0.984375,0.937500,0.984375,0.858265,1024000
1992-06-26,1.000000,1.000000,0.968750,0.984375,0.858265,568000
1992-06-29,1.000000,1.046875,1.000000,1.031250,0.899134,1724800
1992-06-30,1.062500,1.093750,1.031250,1.062500,0.926381,3028800
1992-07-01,1.062500,1.062500,1.031250,1.031250,0.899134,1216000
1992-07-02,1.031250,1.054688,1.000000,1.007813,0.878700,1054400
1992-07-06,1.000000,1.000000,0.953125,0.953125,0.831018,1363200
1992-07-07,0.953125,1.000000,0.953125,1.000000,0.871888,998400
1992-07-08,0.968750,1.000000,0.945313,0.953125,0.831018,2686400
1992-07-09,0.984375,1.046875,0.968750,1.046875,0.912758,2024000
1992-07-10,1.046875,1.046875,1.015625,1.046875,0.912758,680000
1992-07-13,1.046875,1.046875,1.015625,1.046875,0.912758,334400
1992-07-14,1.015625,1.093750,1.015625,1.093750,0.953628,3032000
1992-07-15,1.093750,1.093750,1.062500,1.062500,0.926381,875200
1992-07-16,1.062500,1.078125,1.031250,1.031250,0.899134,369600
1992-07-17,1.031250,1.062500,1.000000,1.046875,0.912758,592000
1992-07-20,1.015625,1.046875,1.015625,1.031250,0.899134,387200
1992-07-21,1.046875,1.046875,1.015625,1.015625,0.885511,268800
1992-07-22,1.046875,1.046875,1.015625,1.046875,0.912758,840000
1992-07-23,1.046875,1.109375,1.015625,1.062500,0.926381,2128000
1992-07-24,1.093750,1.109375,1.062500,1.109375,0.967251,1436800
1992-07-27,1.109375,1.109375,1.062500,1.085938,0.946816,507200
1992-07-28,1.062500,1.109375,1.062500,1.093750,0.953628,2584000
1992-07-29,1.109375,1.109375,1.070313,1.093750,0.953628,1678400
1992-07-30,1.109375,1.171875,1.078125,1.156250,1.008120,7366400
1992-07-31,1.156250,1.281250,1.156250,1.218750,1.062613,10646400
1992-08-03,1.250000,1.250000,1.171875,1.203125,1.048990,3025600
1992-08-04,1.203125,1.218750,1.171875,1.203125,1.048990,1408000
1992-08-05,1.203125,1.234375,1.203125,1.203125,1.048990,625600
1992-08-06,1.187500,1.218750,1.187500,1.187500,1.035367,417600
1992-08-07,1.218750,1.234375,1.187500,1.203125,1.048990,632000
1992-08-10,1.203125,1.234375,1.203125,1.210938,1.055802,192000
1992-08-11,1.234375,1.234375,1.203125,1.234375,1.076236,3062400
1992-08-12,1.265625,1.265625,1.234375,1.257813,1.096672,5353600
1992-08-13,1.296875,1.296875,1.234375,1.234375,1.076236,1044800
1992-08-14,1.234375,1.265625,1.234375,1.265625,1.103483,2672000
1992-08-17,1.281250,1.281250,1.250000,1.265625,1.103483,1435200
1992-08-18,1.281250,1.296875,1.250000,1.296875,1.130729,1948800
1992-08-19,1.296875,1.390625,1.281250,1.328125,1.157976,3556800
1992-08-20,1.359375,1.359375,1.320313,1.359375,1.185223,5371200
1992-08-21,1.359375,1.359375,1.289063,1.328125,1.157976,10041600
1992-08-24,1.328125,1.328125,1.250000,1.281250,1.117107,742400
1992-08-25,1.281250,1.281250,1.234375,1.250000,1.089860,2768000
1992-08-26,1.250000,1.312500,1.234375,1.296875,1.130729,3001600
1992-08-27,1.281250,1.328125,1.281250,1.328125,1.157976,268800
1992-08-28,1.296875,1.328125,1.296875,1.328125,1.157976,569600
1992-08-31,1.312500,1.328125,1.296875,1.296875,1.130729,171200
1992-09-01,1.328125,1.328125,1.296875,1.328125,1.157976,1062400
1992-09-02,1.328125,1.492188,1.296875,1.421875,1.239716,3980800
1992-09-03,1.406250,1.453125,1.406250,1.421875,1.239716,1318400
1992-09-04,1.453125,1.453125,1.406250,1.437500,1.253339,649600
1992-09-08,1.437500,1.453125,1.406250,1.406250,1.226092,1046400
1992-09-09,1.406250,1.437500,1.390625,1.421875,1.239716,670400
