Date,Open,High,Low,Close,Adj Close,Volume
1992-09-18,3.423868,3.654321,3.423868,3.588477,3.077339,24816375
1992-09-21,3.489712,3.588477,3.423868,3.489712,2.992643,3912300
1992-09-22,3.489712,3.489712,3.259259,3.292181,2.823248,2240156
1992-09-23,3.259259,3.325103,3.226337,3.242798,2.780899,939347
1992-09-24,3.226337,3.358025,3.226337,3.325103,2.851481,962888
1992-09-25,3.325103,3.358025,3.160494,3.226337,2.766782,1215000
1992-09-28,3.226337,3.226337,3.127572,3.127572,2.682085,473850
1992-09-29,3.127572,3.193416,3.127572,3.193416,2.738550,1395731
1992-09-30,3.193416,3.292181,3.127572,3.292181,2.823248,1030472
1992-10-01,3.292181,3.325103,3.226337,3.226337,2.766782,910491
1992-10-02,3.292181,3.292181,3.028807,3.061728,2.625620,1432941
1992-10-05,2.995885,3.028807,2.831276,2.930041,2.512690,3342009
1992-10-06,2.962963,3.094650,2.930041,3.094650,2.653852,615853
1992-10-07,3.094650,3.292181,3.094650,3.226337,2.766782,780638
1992-10-08,3.292181,3.325103,3.193416,3.308642,2.837364,820125
1992-10-09,3.275720,3.423868,3.226337,3.226337,2.766782,1073756
1992-10-12,3.292181,3.292181,3.193416,3.226337,2.766782,88088
1992-10-13,3.226337,3.292181,3.078189,3.094650,2.653852,344756
1992-10-14,3.127572,3.226337,3.061728,3.226337,2.766782,628763
1992-10-15,3.226337,3.358025,3.160494,3.358025,2.879713,430566
1992-10-16,3.341564,3.489712,3.292181,3.423868,2.936177,373613
1992-10-19,3.489712,3.621399,3.390947,3.555556,3.049108,1201331
1992-10-20,3.555556,3.720165,3.555556,3.621399,3.105572,1098816
1992-10-21,3.621399,3.720165,3.555556,3.654321,3.133805,196678
1992-10-22,3.555556,3.621399,3.390947,3.489712,2.992643,313622
1992-10-23,3.423868,3.555556,3.423868,3.555556,3.049108,454866
1992-10-26,3.522634,3.522634,3.390947,3.522634,3.020875,183769
1992-10-27,3.522634,3.522634,3.325103,3.423868,2.936177,169341
1992-10-28,3.423868,3.588477,3.390947,3.572016,3.063223,540675
1992-10-29,3.555556,3.588477,3.358025,3.456790,2.964410,376650
1992-10-30,3.390947,3.456790,3.193416,3.242798,2.780899,615094
1992-11-02,3.325103,3.456790,3.259259,3.275720,2.809131,1007691
1992-11-03,3.325103,3.325103,3.226337,3.292181,2.823248,810253
1992-11-04,3.160494,3.259259,3.160494,3.226337,2.766782,66825
1992-11-05,3.292181,3.456790,3.193416,3.456790,2.964410,334125
1992-11-06,3.390947,3.522634,3.390947,3.456790,2.964410,201234
1992-11-09,3.423868,3.555556,3.423868,3.489712,2.992643,226294
1992-11-10,3.555556,3.555556,3.358025,3.423868,2.936177,570291
1992-11-11,3.423868,3.423868,3.325103,3.423868,2.936177,208828
1992-11-12,3.423868,3.489712,3.390947,3.456790,2.964410,558900
1992-11-13,3.522634,3.522634,3.456790,3.522634,3.020875,366778
1992-11-16,3.555556,3.555556,3.489712,3.522634,3.020875,256669
1992-11-17,3.555556,3.555556,3.489712,3.506173,3.006759,217941
1992-11-18,3.555556,3.621399,3.489712,3.621399,3.105572,238444
1992-11-19,3.621399,3.687243,3.555556,3.621399,3.105572,606741
1992-11-20,3.621399,3.720165,3.621399,3.720165,3.190271,782156
1992-11-23,3.720165,3.720165,3.621399,3.720165,3.190271,343238
1992-11-24,3.720165,3.720165,3.654321,3.720165,3.190271,185288
1992-11-25,3.720165,3.884774,3.654321,3.786008,3.246734,1502044
1992-11-27,3.884774,4.082305,3.851852,3.967078,3.402013,565734
1992-11-30,4.016461,4.115226,3.917695,4.049383,3.472595,1202091
1992-12-01,4.049383,4.049383,3.884774,3.950617,3.387897,444994
1992-12-02,3.950617,3.950617,3.786008,3.851852,3.303200,375131
