Date,Open,High,Low,Close,Adj Close,Volume
1992-05-19,1.750000,1.750000,1.656250,1.750000,1.220050,18095200
1992-05-20,1.765625,1.859375,1.750000,1.843750,1.285410,3993600
1992-05-21,1.843750,1.859375,1.796875,1.843750,1.285410,1164800
1992-05-22,1.843750,1.906250,1.843750,1.906250,1.328983,729600
1992-05-26,1.906250,1.906250,1.859375,1.875000,1.307196,668800
1992-05-27,1.875000,1.921875,1.843750,1.875000,1.307196,673600
1992-05-28,1.875000,1.906250,1.875000,1.906250,1.328983,544800
1992-05-29,1.890625,1.984375,1.890625,1.953125,1.361663,292800
1992-06-01,1.968750,2.062500,1.953125,2.000000,1.394343,1489600
1992-06-02,2.000000,2.031250,1.984375,2.015625,1.405236,1423200
1992-06-03,2.000000,2.015625,1.953125,1.968750,1.372557,1146400
1992-06-04,1.968750,1.984375,1.953125,1.968750,1.372557,408800
1992-06-05,1.984375,1.984375,1.968750,1.984375,1.383450,491200
1992-06-08,1.984375,1.984375,1.937500,1.968750,1.372557,701600
1992-06-09,1.984375,1.984375,1.875000,1.921875,1.339877,880000
1992-06-10,1.906250,1.921875,1.890625,1.921875,1.339877,448800
1992-06-11,1.937500,1.968750,1.921875,1.937500,1.350770,208800
1992-06-12,1.968750,2.000000,1.953125,1.968750,1.372557,518400
1992-06-15,1.937500,2.015625,1.937500,1.984375,1.383450,380000
1992-06-16,2.000000,2.000000,1.906250,1.921875,1.339877,216000
1992-06-17,1.953125,1.968750,1.921875,1.937500,1.350770,816800
1992-06-18,1.953125,1.953125,1.921875,1.921875,1.339877,220800
1992-06-19,1.906250,1.921875,1.906250,1.921875,1.339877,192800
1992-06-22,1.937500,1.953125,1.890625,1.937500,1.350770,954400
1992-06-23,1.968750,2.000000,1.953125,1.968750,1.372557,1403200
1992-06-24,1.968750,2.000000,1.937500,2.000000,1.394343,1368800
1992-06-25,2.000000,2.031250,1.984375,2.000000,1.394343,462400
1992-06-26,1.984375,2.031250,1.984375,2.031250,1.416130,803200
1992-06-29,2.046875,2.156250,2.046875,2.125000,1.481490,295200
1992-06-30,2.093750,2.281250,2.093750,2.281250,1.590423,545600
1992-07-01,2.312500,2.390625,2.171875,2.375000,1.655782,2180000
1992-07-02,2.375000,2.390625,2.296875,2.312500,1.612209,1099200
1992-07-06,2.328125,2.359375,2.328125,2.359375,1.644889,1457600
1992-07-07,2.343750,2.359375,2.343750,2.343750,1.633996,692800
1992-07-08,2.312500,2.328125,2.203125,2.265625,1.579529,1060800
1992-07-09,2.312500,2.406250,2.312500,2.375000,1.655782,1344000
1992-07-10,2.375000,2.468750,2.375000,2.468750,1.721143,881600
1992-07-13,2.468750,2.468750,2.390625,2.437500,1.699356,387200
1992-07-14,2.437500,2.437500,2.343750,2.375000,1.655782,321600
1992-07-15,2.375000,2.375000,2.296875,2.343750,1.633996,313600
1992-07-16,2.359375,2.359375,2.296875,2.359375,1.644889,717600
1992-07-17,2.359375,2.359375,2.343750,2.343750,1.633996,39200
1992-07-20,2.343750,2.343750,2.281250,2.281250,1.590423,44800
1992-07-21,2.281250,2.296875,2.281250,2.281250,1.590423,304000
1992-07-22,2.281250,2.296875,2.250000,2.250000,1.568637,506400
1992-07-23,2.250000,2.281250,2.218750,2.250000,1.568637,584000
1992-07-24,2.250000,2.281250,2.218750,2.234375,1.557743,446400
1992-07-27,2.265625,2.312500,2.265625,2.281250,1.590423,310400
1992-07-28,2.296875,2.312500,2.218750,2.296875,1.601316,960800
1992-07-29,2.296875,2.390625,2.296875,2.375000,1.655782,1070400
1992-07-30,2.359375,2.375000,2.343750,2.375000,1.655782,618400
1992-07-31,2.375000,2.421875,2.375000,2.421875,1.688463,500000
1992-08-03,2.421875,2.531250,2.421875,2.500000,1.742929,260000
1992-08-04,2.515625,2.625000,2.515625,2.593750,1.808289,676000
1992-08-05,2.593750,2.703125,2.578125,2.703125,1.884542,204800
1992-08-06,2.671875,2.703125,2.625000,2.656250,1.851861,551200
1992-08-07,2.625000,2.734375,2.625000,2.718750,1.895435,625600
1992-08-10,2.718750,2.718750,2.531250,2.625000,1.830076,549600
1992-08-11,2.656250,2.812500,2.625000,2.812500,1.960795,171200
1992-08-12,2.812500,2.812500,2.656250,2.687500,1.873648,411200
1992-08-13,2.703125,2.718750,2.656250,2.656250,1.851861,424000
1992-08-14,2.671875,2.671875,2.593750,2.640625,1.840969,640800
1992-08-17,2.625000,2.703125,2.625000,2.703125,1.884542,397600
1992-08-18,2.734375,2.734375,2.703125,2.718750,1.895435,68000
1992-08-19,2.687500,2.718750,2.687500,2.703125,1.884542,105600
1992-08-20,2.750000,2.750000,2.718750,2.734375,1.906329,431200
1992-08-21,2.734375,2.781250,2.718750,2.718750,1.895435,260000
1992-08-24,2.687500,2.687500,2.640625,2.640625,1.840969,38400
1992-08-25,2.640625,2.640625,2.531250,2.593750,1.808289,288000
1992-08-26,2.609375,2.671875,2.578125,2.671875,1.862756,264800
1992-08-27,2.703125,2.750000,2.687500,2.687500,1.873648,188800
1992-08-28,2.671875,2.718750,2.671875,2.703125,1.884542,24800
1992-08-31,2.734375,2.781250,2.718750,2.718750,1.895435,241600
1992-09-01,2.703125,2.906250,2.703125,2.875000,2.004368,284000
1992-09-02,2.875000,2.968750,2.843750,2.968750,2.069729,565600
1992-09-03,3.000000,3.125000,2.968750,2.984375,2.080622,1440800
1992-09-04,3.000000,3.000000,2.906250,2.921875,2.037048,197600
1992-09-08,2.968750,3.000000,2.953125,3.000000,2.091515,85600
1992-09-09,3.000000,3.000000,2.968750,3.000000,2.091515,700800
1992-09-10,3.031250,3.156250,3.031250,3.062500,2.135088,200800
1992-09-11,3.046875,3.046875,3.000000,3.031250,2.113302,575200
1992-09-14,3.062500,3.062500,3.015625,3.031250,2.113302,142400
1992-09-15,3.062500,3.062500,3.015625,3.031250,2.113302,444800
1992-09-16,3.031250,3.093750,3.031250,3.062500,2.135088,76800
1992-09-17,3.093750,3.125000,3.046875,3.125000,2.178662,80800
1992-09-18,3.125000,3.125000,3.078125,3.093750,2.156875,47200
1992-09-21,3.093750,3.093750,3.062500,3.062500,2.135088,600800
1992-09-22,3.062500,3.109375,3.062500,3.078125,2.145982,109600
1992-09-23,3.078125,3.093750,3.062500,3.093750,2.156875,76000
1992-09-24,3.109375,3.125000,3.109375,3.125000,2.178662,112800
1992-09-25,3.125000,3.125000,3.062500,3.062500,2.135088,386400
1992-09-28,3.046875,3.046875,2.781250,2.812500,1.960795,349600
1992-09-29,2.812500,2.843750,2.593750,2.812500,1.960795,803200
1992-09-30,2.843750,2.875000,2.812500,2.843750,1.982581,522400
1992-10-01,2.812500,2.937500,2.687500,2.937500,2.047941,768800
1992-10-02,2.968750,3.015625,2.937500,2.953125,2.058834,233600
1992-10-05,2.921875,2.921875,2.656250,2.765625,1.928115,255200
1992-10-06,2.781250,2.906250,2.781250,2.906250,2.026155,384000
1992-10-07,2.937500,2.984375,2.937500,2.937500,2.047941,584800
1992-10-08,2.968750,3.000000,2.906250,3.000000,2.091515,282400
1992-10-09,3.000000,3.031250,2.968750,2.968750,2.069729,295200
1992-10-12,3.000000,3.062500,3.000000,3.031250,2.113302,20800
1992-10-13,3.000000,3.093750,3.000000,3.078125,2.145982,68000
1992-10-14,3.093750,3.093750,3.000000,3.000000,2.091515,34400
1992-10-15,3.000000,3.031250,2.968750,3.015625,2.102408,27200
1992-10-16,3.046875,3.078125,3.015625,3.046875,2.124195,43200
1992-10-19,3.015625,3.125000,3.000000,3.125000,2.178662,359200
1992-10-20,3.156250,3.250000,3.156250,3.187500,2.222235,157600
1992-10-21,3.218750,3.218750,3.187500,3.187500,2.222235,38400
1992-10-22,3.203125,3.250000,3.187500,3.250000,2.265808,76000
1992-10-23,3.281250,3.343750,3.171875,3.171875,2.211341,208800
1992-10-26,3.203125,3.281250,3.203125,3.281250,2.287594,61600
1992-10-27,3.281250,3.375000,3.281250,3.375000,2.352954,157600
1992-10-28,3.375000,3.390625,3.359375,3.359375,2.342061,608800
1992-10-29,3.453125,3.468750,3.328125,3.328125,2.320274,230400
1992-10-30,3.343750,3.343750,3.187500,3.218750,2.244021,205600
1992-11-02,3.250000,3.312500,3.250000,3.312500,2.309381,19200
1992-11-03,3.312500,3.406250,3.312500,3.406250,2.374742,151200
1992-11-04,3.437500,3.437500,3.375000,3.375000,2.352954,160000
1992-11-05,3.437500,3.593750,3.390625,3.578125,2.494567,596800
1992-11-06,3.578125,3.781250,3.578125,3.734375,2.603501,1281600
1992-11-09,3.703125,4.000000,3.703125,3.968750,2.766900,2169600
1992-11-10,3.937500,3.968750,3.875000,3.937500,2.745113,1035200
1992-11-11,3.843750,3.906250,3.812500,3.812500,2.657967,318400
1992-11-12,3.828125,3.828125,3.593750,3.687500,2.570820,988800
1992-11-13,3.718750,3.843750,3.703125,3.812500,2.657967,171200
1992-11-16,3.843750,4.000000,3.812500,3.843750,2.679753,603200
1992-11-17,3.843750,3.843750,3.812500,3.812500,2.657967,68000
1992-11-18,3.828125,3.843750,3.796875,3.828125,2.668861,221600
1992-11-19,3.859375,3.984375,3.859375,3.953125,2.756006,85600
1992-11-20,3.953125,4.000000,3.937500,3.937500,2.745113,199200
1992-11-23,3.953125,3.953125,3.812500,3.812500,2.657967,87200
1992-11-24,3.843750,3.843750,3.562500,3.687500,2.570820,452800
1992-11-25,3.718750,3.781250,3.687500,3.734375,2.603501,320800
1992-11-27,3.750000,3.781250,3.734375,3.734375,2.603501,48000
1992-11-30,3.750000,3.796875,3.703125,3.734375,2.603501,105600
1992-12-01,3.734375,3.734375,3.656250,3.656250,2.549033,46400
1992-12-02,3.671875,3.671875,3.468750,3.500000,2.440100,376000
1992-12-03,3.531250,3.562500,3.437500,3.453125,2.407420,162400
1992-12-04,3.437500,3.562500,3.421875,3.531250,2.461887,752800
1992-12-07,3.625000,3.687500,3.625000,3.640625,2.538141,193600
1992-12-08,3.656250,3.734375,3.625000,3.718750,2.592607,148000
1992-12-09,3.734375,3.750000,3.687500,3.750000,2.614393,300000
1992-12-10,3.781250,3.781250,3.718750,3.734375,2.603501,80000
1992-12-11,3.718750,3.781250,3.703125,3.781250,2.636180,171200
1992-12-14,3.796875,3.843750,3.750000,3.843750,2.679753,128000
1992-12-15,3.843750,3.859375,3.812500,3.859375,2.690646,62400
1992-12-16,3.859375,3.859375,3.750000,3.765625,2.625287,55200
1992-12-17,3.765625,3.765625,3.750000,3.750000,2.614393,8000
1992-12-18,3.765625,3.765625,3.671875,3.687500,2.570820,282400
1992-12-21,3.671875,3.671875,3.593750,3.625000,2.527248,179200
1992-12-22,3.656250,3.671875,3.640625,3.640625,2.538141,36800
1992-12-23,3.640625,3.671875,3.625000,3.640625,2.538141,180800
1992-12-24,3.609375,3.609375,3.609375,3.609375,2.516354,58400
1992-12-28,3.640625,3.671875,3.593750,3.656250,2.549033,286400
1992-12-29,3.687500,3.687500,3.640625,3.671875,2.559927,40000
1992-12-30,3.671875,3.718750,3.671875,3.718750,2.592607,11200
1992-12-31,3.687500,3.750000,3.687500,3.750000,2.614393,44800
1993-01-04,3.734375,3.734375,3.562500,3.562500,2.483673,412800
1993-01-05,3.562500,3.593750,3.531250,3.562500,2.483673,1386400
1993-01-06,3.609375,3.703125,3.593750,3.671875,2.559927,209600
1993-01-07,3.703125,3.703125,3.578125,3.609375,2.516354,429600
1993-01-08,3.609375,3.609375,3.500000,3.500000,2.440100,165600
1993-01-11,3.515625,3.562500,3.468750,3.468750,2.418314,158400
1993-01-12,3.453125,3.468750,3.343750,3.343750,2.331168,364800
1993-01-13,3.312500,3.468750,3.265625,3.468750,2.418314,356800
1993-01-14,3.531250,3.781250,3.531250,3.781250,2.636180,767200
1993-01-15,3.781250,3.937500,3.750000,3.937500,2.745113,720000
1993-01-18,3.968750,4.000000,3.937500,4.000000,2.788687,443200
1993-01-19,4.062500,4.125000,4.046875,4.062500,2.832260,419200
1993-01-20,4.062500,4.062500,3.968750,4.015625,2.799580,329600
1993-01-21,3.984375,3.984375,3.906250,3.906250,2.723326,134400
1993-01-22,3.875000,3.921875,3.828125,3.906250,2.723326,161600
1993-01-25,3.875000,3.921875,3.875000,3.890625,2.712433,77600
1993-01-26,3.906250,4.031250,3.906250,4.000000,2.788687,84800
1993-01-27,4.031250,4.125000,4.031250,4.109375,2.864939,15668000
1993-01-28,4.093750,4.234375,4.093750,4.218750,2.941193,3292000
1993-01-29,4.218750,4.359375,4.218750,4.343750,3.028339,2536000
1993-02-01,4.312500,4.562500,4.281250,4.484375,3.126379,2188800
1993-02-02,4.593750,4.640625,4.484375,4.484375,3.126379,2352800
1993-02-03,4.312500,4.453125,4.312500,4.406250,3.071913,2053600
1993-02-04,4.406250,4.656250,4.375000,4.640625,3.235311,880000
1993-02-05,4.609375,4.656250,4.562500,4.625000,3.224418,908000
1993-02-08,4.625000,4.687500,4.593750,4.593750,3.202632,332800
1993-02-09,4.531250,4.531250,4.359375,4.421875,3.082805,887200
1993-02-10,4.453125,4.562500,4.421875,4.515625,3.148166,434400
1993-02-11,4.562500,4.562500,4.484375,4.546875,3.169952,164000
1993-02-12,4.546875,4.546875,4.406250,4.406250,3.071913,511200
1993-02-16,4.375000,4.375000,4.140625,4.171875,2.908513,836000
1993-02-17,4.140625,4.140625,3.968750,4.046875,2.821366,921600
1993-02-18,4.078125,4.234375,4.078125,4.109375,2.864939,443200
1993-02-19,4.125000,4.296875,4.125000,4.296875,2.995659,264000
1993-02-22,4.296875,4.296875,4.156250,4.156250,2.897619,599200
1993-02-23,4.187500,4.218750,3.875000,3.890625,2.712433,562400
1993-02-24,4.062500,4.093750,3.953125,4.093750,2.854047,956800
1993-02-25,4.093750,4.281250,4.093750,4.281250,2.984766,293600
1993-02-26,4.296875,4.375000,4.296875,4.375000,3.050127,210400
1993-03-01,4.390625,4.500000,4.390625,4.468750,3.115486,453600
1993-03-02,4.437500,4.453125,4.390625,4.390625,3.061020,129600
1993-03-03,4.421875,4.640625,4.421875,4.625000,3.224418,462400
1993-03-04,4.625000,4.625000,4.453125,4.500000,3.137273,397600
1993-03-05,4.468750,4.484375,4.453125,4.468750,3.115486,27200
1993-03-08,4.500000,4.546875,4.468750,4.546875,3.169952,145600
1993-03-09,4.500000,4.656250,4.500000,4.531250,3.159058,452000
1993-03-10,4.531250,4.546875,4.500000,4.531250,3.159058,98400
1993-03-11,4.500000,4.562500,4.500000,4.562500,3.180845,484000
1993-03-12,4.562500,4.625000,4.500000,4.609375,3.213524,198400
1993-03-15,4.625000,4.750000,4.625000,4.703125,3.278885,174400
1993-03-16,4.750000,4.875000,4.718750,4.812500,3.355138,280800
1993-03-17,4.828125,4.859375,4.781250,4.812500,3.355138,339200
