Date,Open,High,Low,Close,Adj Close,Volume
1970-01-02,6.851563,6.890625,6.843750,6.851563,1.460485,72000
1970-01-05,6.859375,6.898438,6.859375,6.890625,1.468811,446400
1970-01-06,6.890625,6.960938,6.882813,6.960938,1.483799,176000
1970-01-07,6.960938,7.015625,6.945313,7.000000,1.492126,164800
1970-01-08,7.000000,7.109375,6.984375,7.093750,1.512109,304000
1970-01-09,7.093750,7.117188,7.039063,7.078125,1.508779,139200
1970-01-12,7.078125,7.085938,7.031250,7.085938,1.510443,118400
1970-01-13,7.085938,7.125000,7.062500,7.062500,1.505448,262400
1970-01-14,7.070313,7.171875,7.070313,7.140625,1.522101,377600
1970-01-15,7.109375,7.109375,7.000000,7.000000,1.492126,169600
1970-01-16,7.000000,7.046875,6.828125,6.953125,1.482134,289600
1970-01-19,6.875000,6.875000,6.781250,6.812500,1.452157,179200
1970-01-20,6.812500,6.867188,6.781250,6.867188,1.463815,172800
1970-01-21,6.867188,6.867188,6.804688,6.851563,1.460485,272000
1970-01-22,6.851563,6.906250,6.835938,6.890625,1.468811,318400
1970-01-23,6.890625,6.914063,6.820313,6.820313,1.453824,176000
1970-01-26,6.820313,6.867188,6.750000,6.789063,1.447163,278400
1970-01-27,6.789063,6.796875,6.578125,6.578125,1.402198,217600
1970-01-28,6.578125,6.640625,6.531250,6.539063,1.393872,344000
1970-01-29,6.531250,6.531250,6.437500,6.437500,1.372223,296000
1970-01-30,6.437500,6.437500,6.226563,6.273438,1.337250,430400
1970-02-02,6.273438,6.281250,6.226563,6.273438,1.337250,340800
1970-02-03,6.273438,6.468750,6.273438,6.437500,1.372223,692800
1970-02-04,6.437500,6.437500,6.265625,6.304688,1.343912,392000
1970-02-05,6.304688,6.304688,6.250000,6.281250,1.338916,292800
1970-02-06,6.281250,6.304688,6.250000,6.265625,1.335585,313600
1970-02-09,6.273438,6.367188,6.273438,6.328125,1.348909,283200
1970-02-10,6.328125,6.359375,6.296875,6.351563,1.353905,267200
1970-02-11,6.351563,6.382813,6.328125,6.335938,1.350573,392000
1970-02-12,6.382813,6.453125,6.382813,6.453125,1.375553,217600
1970-02-13,6.453125,6.492188,6.429688,6.476563,1.380550,148800
1970-02-16,6.500000,6.609375,6.500000,6.609375,1.408859,142400
1970-02-17,6.640625,6.757813,6.640625,6.695313,1.427178,158400
1970-02-18,6.718750,6.867188,6.718750,6.796875,1.448827,683200
1970-02-19,6.796875,6.843750,6.765625,6.796875,1.448827,272000
1970-02-20,6.796875,6.859375,6.734375,6.750000,1.438836,584000
1970-02-24,6.750000,6.750000,6.695313,6.695313,1.427178,193600
1970-02-25,6.695313,6.859375,6.695313,6.859375,1.462150,299200
1970-02-26,6.859375,6.859375,6.765625,6.835938,1.457154,270400
1970-02-27,6.835938,6.851563,6.765625,6.812500,1.452157,152000
1970-03-02,6.812500,6.859375,6.796875,6.796875,1.448827,112000
1970-03-03,6.796875,6.804688,6.703125,6.734375,1.435506,128000
1970-03-04,6.734375,6.812500,6.718750,6.789063,1.447163,331200
1970-03-05,6.781250,6.781250,6.664063,6.687500,1.425513,168000
1970-03-06,6.687500,6.703125,6.625000,6.656250,1.418851,172800
1970-03-09,6.656250,6.671875,6.578125,6.601563,1.407194,120000
1970-03-10,6.601563,6.648438,6.531250,6.648438,1.417186,444800
1970-03-11,6.648438,6.687500,6.609375,6.640625,1.415521,201600
1970-03-12,6.640625,6.656250,6.593750,6.625000,1.412190,80000
1970-03-13,6.625000,6.648438,6.539063,6.625000,1.412190,155200
1970-03-16,6.531250,6.531250,6.375000,6.390625,1.362231,388800
1970-03-17,6.390625,6.523438,6.390625,6.437500,1.372223,228800
1970-03-18,6.437500,6.468750,6.398438,6.421875,1.368893,236800
1970-03-19,6.421875,6.460938,6.398438,6.445313,1.373888,126400
1970-03-20,6.437500,6.437500,6.328125,6.375000,1.358901,251200
1970-03-23,6.375000,6.390625,6.265625,6.281250,1.338916,393600
1970-03-24,6.312500,6.367188,6.312500,6.335938,1.350573,204800
1970-03-25,6.375000,6.554688,6.375000,6.476563,1.380550,436800
1970-03-26,6.476563,6.546875,6.437500,6.460938,1.377219,254400
1970-03-30,6.460938,6.500000,6.414063,6.500000,1.385545,198400
1970-03-31,6.500000,6.578125,6.468750,6.531250,1.392207,224000
1970-04-01,6.562500,6.679688,6.562500,6.632813,1.413856,241600
1970-04-02,6.632813,6.679688,6.632813,6.664063,1.420518,86400
1970-04-03,6.664063,6.664063,6.625000,6.648438,1.417186,121600
1970-04-06,6.625000,6.625000,6.507813,6.515625,1.388875,136000
1970-04-07,6.515625,6.546875,6.429688,6.515625,1.388875,681600
1970-04-08,6.515625,6.515625,6.437500,6.453125,1.375553,148800
1970-04-09,6.453125,6.500000,6.437500,6.476563,1.380550,225600
1970-04-10,6.476563,6.500000,6.429688,6.468750,1.378884,171200
