Date,Open,High,Low,Close,Adj Close,Volume
1983-11-21,0.000000,5.177083,5.083333,5.135417,0.833645,3910800
1983-11-22,0.000000,5.135417,5.093750,5.093750,0.826882,2934000
1983-11-23,0.000000,5.104167,5.052083,5.072917,0.823500,1618800
1983-11-25,0.000000,5.104167,5.072917,5.083333,0.825191,3380400
1983-11-28,0.000000,5.093750,5.031250,5.031250,0.816736,4315200
1983-11-29,0.000000,5.020833,4.947917,4.947917,0.803208,2295600
1983-11-30,0.000000,4.968750,4.906250,4.916667,0.798135,3908400
1983-12-01,0.000000,4.979167,4.927083,4.968750,0.806590,9553200
1983-12-02,0.000000,4.968750,4.937500,4.947917,0.803208,1928400
1983-12-05,0.000000,4.958333,4.927083,4.927083,0.799826,1501200
1983-12-06,0.000000,4.937500,4.906250,4.906250,0.796444,2966400
1983-12-07,0.000000,4.927083,4.854167,4.885417,0.793063,6301200
1983-12-08,0.000000,4.906250,4.875000,4.885417,0.793063,6476400
1983-12-09,0.000000,4.885417,4.843750,4.854167,0.787990,6897600
1983-12-12,0.000000,4.875000,4.854167,4.864583,0.789680,3379200
1983-12-13,0.000000,4.927083,4.854167,4.906250,0.796444,7300800
1983-12-14,0.000000,4.979167,4.906250,4.916667,0.798135,4986000
1983-12-15,0.000000,4.927083,4.875000,4.885417,0.793063,3711600
1983-12-16,0.000000,4.916667,4.854167,4.885417,0.793063,3331200
1983-12-19,0.000000,4.895833,4.875000,4.885417,0.793063,3752400
1983-12-20,0.000000,4.906250,4.875000,4.906250,0.796444,2410800
1983-12-21,0.000000,4.916667,4.875000,4.916667,0.798135,7482000
1983-12-22,0.000000,4.927083,4.885417,4.885417,0.793063,7561200
1983-12-23,0.000000,4.895833,4.854167,4.895833,0.794753,3861600
1983-12-27,0.000000,4.895833,4.864583,4.885417,0.793063,2546400
1983-12-28,0.000000,4.937500,4.885417,4.937500,0.801517,5358000
1983-12-29,0.000000,4.937500,4.916667,4.927083,0.799826,4488000
1983-12-30,0.000000,4.958333,4.906250,4.906250,0.796444,2923200
1984-01-03,0.000000,5.093750,4.916667,5.083333,0.825191,2491200
1984-01-04,0.000000,5.375000,5.135417,5.333333,0.865773,6492000
1984-01-05,0.000000,5.427083,5.291667,5.312500,0.862392,4051200
1984-01-06,0.000000,5.333333,5.177083,5.187500,0.842100,4563600
1984-01-09,0.000000,5.197917,5.135417,5.166667,0.838718,3231600
1984-01-10,0.000000,5.187500,5.135417,5.166667,0.838718,3289200
1984-01-11,0.000000,5.239583,5.177083,5.197917,0.843791,4245600
1984-01-12,0.000000,5.229167,5.177083,5.208333,0.845483,2680800
1984-01-13,0.000000,5.291667,5.208333,5.291667,0.859010,4046400
1984-01-16,0.000000,5.447917,5.250000,5.395833,0.875919,3388800
1984-01-17,0.000000,5.416667,5.364583,5.416667,0.879302,2637600
1984-01-18,0.000000,5.500000,5.416667,5.489583,0.891138,4465200
1984-01-19,0.000000,5.500000,5.427083,5.427083,0.880992,3014400
1984-01-20,0.000000,5.437500,5.385417,5.427083,0.880992,2479200
1984-01-23,0.000000,5.437500,5.395833,5.416667,0.879302,1770000
1984-01-24,0.000000,5.458333,5.395833,5.395833,0.875919,2148000
1984-01-25,0.000000,5.406250,5.302083,5.312500,0.862392,1590000
1984-01-26,0.000000,5.291667,5.197917,5.208333,0.845483,3070800
1984-01-27,0.000000,5.229167,5.145833,5.197917,0.843791,4377600
1984-01-30,0.000000,5.302083,5.187500,5.281250,0.857319,4933200
1984-01-31,0.000000,5.302083,5.239583,5.239583,0.850555,2198400
1984-02-01,0.000000,5.270833,5.208333,5.208333,0.845483,1904400
1984-02-02,0.000000,5.218750,5.177083,5.177083,0.840409,4267200
1984-02-03,0.000000,5.208333,5.166667,5.187500,0.842100,3247200
1984-02-06,0.000000,5.187500,5.135417,5.135417,0.833645,2737200
1984-02-07,0.000000,5.208333,5.072917,5.114583,0.830263,3242400
1984-02-08,0.000000,5.145833,5.083333,5.093750,0.826882,2004000
1984-02-09,0.000000,5.072917,5.000000,5.000000,0.811663,2665200
1984-02-10,0.000000,5.010417,4.958333,4.979167,0.808281,2204400
1984-02-13,0.000000,5.093750,4.979167,5.083333,0.825191,3345600
1984-02-14,0.000000,5.187500,5.072917,5.114583,0.830263,3244800
1984-02-15,0.000000,5.135417,5.062500,5.093750,0.826882,4076400
1984-02-16,0.000000,5.114583,5.000000,5.072917,0.823500,3710400
1984-02-17,0.000000,5.083333,5.031250,5.041667,0.818427,1302000
1984-02-21,0.000000,5.062500,5.020833,5.041667,0.818427,3312000
1984-02-22,0.000000,5.104167,5.031250,5.062500,0.821809,3346800
1984-02-23,0.000000,5.041667,4.968750,4.989583,0.809972,5638800
1984-02-24,0.000000,5.010417,4.916667,4.958333,0.804899,5305200
1984-02-27,0.000000,5.010417,4.947917,4.979167,0.808281,3411600
1984-02-28,0.000000,4.989583,4.937500,4.937500,0.801517,1876800
1984-02-29,0.000000,5.010417,4.916667,5.010417,0.813354,4678800
1984-03-01,0.000000,5.104167,5.000000,5.104167,0.828573,3324000
1984-03-02,0.000000,5.114583,5.041667,5.062500,0.821809,2580000
1984-03-05,0.000000,5.052083,5.010417,5.020833,0.815045,1556400
1984-03-06,0.000000,5.020833,4.979167,5.000000,0.811663,2224800
1984-03-07,0.000000,4.989583,4.916667,4.937500,0.801517,2346000
1984-03-08,0.000000,5.000000,4.916667,5.000000,0.811663,2277600
1984-03-09,0.000000,4.989583,4.927083,4.968750,0.806590,1920000
1984-03-12,0.000000,4.989583,4.927083,4.937500,0.801517,2688000
1984-03-13,0.000000,4.968750,4.916667,4.958333,0.804899,3648000
1984-03-14,0.000000,4.979167,4.906250,4.968750,0.806590,3463200
1984-03-15,0.000000,5.010417,4.947917,4.958333,0.804899,3889200
1984-03-16,0.000000,4.989583,4.885417,4.895833,0.794753,3477600
1984-03-19,0.000000,4.906250,4.843750,4.895833,0.794753,2739600
1984-03-20,0.000000,4.895833,4.843750,4.864583,0.789680,6548400
1984-03-21,0.000000,4.885417,4.854167,4.885417,0.793063,3799200
1984-03-22,0.000000,4.906250,4.833333,4.843750,0.786299,8347200
1984-03-23,0.000000,4.885417,4.781250,4.885417,0.793063,4560000
1984-03-26,0.000000,4.895833,4.729167,4.770833,0.793409,3309600
1984-03-27,0.000000,4.812500,4.760417,4.770833,0.793409,4227600
1984-03-28,0.000000,4.802083,4.770833,4.781250,0.795142,2638800
1984-03-29,0.000000,4.822917,4.781250,4.791667,0.796873,1622400
1984-03-30,0.000000,4.802083,4.770833,4.770833,0.793409,4440000
1984-04-02,0.000000,4.791667,4.697917,4.708333,0.783015,4334400
1984-04-03,0.000000,4.729167,4.625000,4.666667,0.776086,4257600
1984-04-04,0.000000,4.718750,4.666667,4.666667,0.776086,4326000
1984-04-05,0.000000,4.687500,4.625000,4.635417,0.770889,2527200
1984-04-06,0.000000,4.645833,4.625000,4.635417,0.770889,1822800
1984-04-09,0.000000,4.656250,4.625000,4.625000,0.769156,1861200
1984-04-10,0.000000,4.666667,4.625000,4.625000,0.769156,3592800
1984-04-11,0.000000,4.666667,4.625000,4.625000,0.769156,2761200
1984-04-12,0.000000,4.708333,4.625000,4.687500,0.779550,3166800
1984-04-13,0.000000,4.697917,4.645833,4.666667,0.776086,4197600
1984-04-16,0.000000,4.677083,4.645833,4.666667,0.776086,2085600
1984-04-17,0.000000,4.708333,4.677083,4.687500,0.779550,2576400
1984-04-18,0.000000,4.750000,4.687500,4.687500,0.779550,3544800
1984-04-19,0.000000,4.739583,4.687500,4.708333,0.783015,2980800
1984-04-23,0.000000,4.750000,4.697917,4.739583,0.788212,1884000
1984-04-24,0.000000,4.864583,4.770833,4.854167,0.807268,3385200
1984-04-25,0.000000,4.916667,4.875000,4.906250,0.815929,2996400
1984-04-26,0.000000,4.958333,4.906250,4.937500,0.821126,2436000
1984-04-27,0.000000,4.927083,4.895833,4.916667,0.817661,1627200
1984-04-30,0.000000,4.979167,4.906250,4.958333,0.824591,2308800
1984-05-01,0.000000,5.041667,4.968750,5.010417,0.833252,3415200
1984-05-02,0.000000,4.916667,4.843750,4.885417,0.812465,10460400
1984-05-03,0.000000,4.958333,4.895833,4.927083,0.819394,4290000
1984-05-04,0.000000,4.947917,4.916667,4.916667,0.817661,3362400
1984-05-07,0.000000,4.927083,4.895833,4.906250,0.815929,3511200
1984-05-08,0.000000,4.927083,4.864583,4.895833,0.814197,1801200
1984-05-09,0.000000,4.937500,4.895833,4.906250,0.815929,1840800
1984-05-10,0.000000,4.916667,4.875000,4.875000,0.810732,3462000
1984-05-11,0.000000,4.864583,4.812500,4.812500,0.800338,2439600
1984-05-14,0.000000,4.802083,4.718750,4.718750,0.784747,2594400
1984-05-15,0.000000,4.718750,4.687500,4.708333,0.783015,2156400
1984-05-16,0.000000,4.729167,4.687500,4.697917,0.781282,2817600
1984-05-17,0.000000,4.718750,4.666667,4.666667,0.776086,1989600
1984-05-18,0.000000,4.677083,4.625000,4.656250,0.774353,1236000
1984-05-21,0.000000,4.677083,4.625000,4.645833,0.772620,1215600
1984-05-22,0.000000,4.656250,4.604167,4.635417,0.770889,2030400
1984-05-23,0.000000,4.708333,4.645833,4.697917,0.781282,1275600
1984-05-24,0.000000,4.697917,4.666667,4.666667,0.776086,2202000
1984-05-25,0.000000,4.697917,4.635417,4.635417,0.770889,1608000
1984-05-29,0.000000,4.645833,4.604167,4.604167,0.765691,1185600
1984-05-30,0.000000,4.625000,4.583333,4.593750,0.763959,1212000
1984-05-31,0.000000,4.625000,4.593750,4.614583,0.767424,1089600
1984-06-01,0.000000,4.750000,4.625000,4.739583,0.788212,1441200
1984-06-04,0.000000,4.802083,4.729167,4.739583,0.788212,3991200
1984-06-05,0.000000,4.750000,4.708333,4.729167,0.786479,1424400
1984-06-06,0.000000,4.760417,4.718750,4.750000,0.789944,2431200
1984-06-07,0.000000,4.802083,4.718750,4.750000,0.789944,3222000
1984-06-08,0.000000,4.822917,4.760417,4.802083,0.798606,4544400
1984-06-11,0.000000,4.812500,4.781250,4.802083,0.798606,2343600
1984-06-12,0.000000,4.843750,4.791667,4.812500,0.800338,1866000
1984-06-13,0.000000,4.822917,4.791667,4.802083,0.798606,1479600
1984-06-14,0.000000,4.802083,4.739583,4.739583,0.788212,1820400
